Title,Author,Price,Release Date,Short Desc,Pages
Expert Python Programming - Fourth Edition,Michal Jaworski,$27.99 ,May-21,"Attain a deep understanding of building, maintaining, packaging, and shipping robust Python applicat...",630 pages
Keycloak - Identity and Access Management for Modern Applications,Stian Thorgersen,$31.99 ,Jun-21,"Learn to leverage the advanced capabilities of Keycloak, an open-source identity and access manageme...",362 pages
Python Object-Oriented Programming - Fourth Edition,Steven F. Lott,$27.99 ,Jul-21,"A comprehensive guide to exploring modern Python through data structures, design patterns, and effec...",714 pages
Git for Programmers,Jesse Liberty,$34.99 ,Jun-21,"Learn to track, branch, merge, and manage code revisions for real-world development scenarios",264 pages
CompTIA Security+: SY0-601 Certification Guide - Second Edition,Ian Neil,$27.99 ,Dec-20,Become well-versed with IT security essentials and exam objectives for CompTIA Security+ SY0-601 cer...,516 pages
C# 9 and .NET 5 – Modern Cross-Platform Development - Fifth Edition,Mark J. Price,$31.99 ,Nov-20,"A comprehensive guide for beginners to learn the key concepts, real-world applications, and latest f...",822 pages
Flutter Cookbook,Simone Alessandria,$31.99 ,Jun-21,"Discover how to build, scale, and debug native iOS and Android applications from a single codebase u...",646 pages
Solutions Architect's Handbook,Saurabh Shrivastava,$27.99 ,Mar-20,From fundamentals and design patterns to the different strategies for creating secure and reliable a...,490 pages
Software Architecture with C++,Adrian Ostrowski,$34.99 ,Apr-21,Apply business requirements to IT infrastructure and deliver a high-quality product by understanding...,540 pages
Polished Ruby Programming,Jeremy Evans,$34.99 ,Jul-21,"Become an accomplished Ruby programmer by understanding the design principles, best practices, and t...",434 pages
Web Development with Blazor,Jimmy Engström,$31.99 ,Jun-21,Learn modern web user interface (UI) development with server-side Blazor and Blazor WebAssembly,310 pages
Angular Projects - Second Edition,Aristeidis Bampakos,$24.99 ,Jul-21,Understand Angular web application development by building captivating real-world applications while...,344 pages
Modern API Development with Spring and Spring Boot,Sourabh Sharma,$31.99 ,Jun-21,"A developer's guide to designing, testing, and securing production-ready modern APIs with the help o...",582 pages
Python Machine Learning - Third Edition,Sebastian Raschka,$27.99 ,Dec-19,"Applied machine learning with a solid foundation in theory. Revised and expanded for TensorFlow 2, G...",770 pages
Mastering Linux Administration,Alexandru Calcatinge,$27.99 ,Jun-21,Develop advanced skills for working with Linux systems on-premises and in the cloud,772 pages
"PHP 8 Programming Tips, Tricks and Best Practices",Doug Bierer,$34.99 ,Aug-21,"Discover effective techniques, workarounds, and expert guidance for avoiding situations where your a...",528 pages
Expert Data Modeling with Power BI,Soheil Bakhshi,$34.99 ,Jun-21,Manage and work with business data effectively by learning data modeling techniques and leveraging t...,612 pages
Mastering PowerShell Scripting - Fourth Edition,Chris Dent,$31.99 ,Jun-21,Grasp advanced PowerShell 7.1 functionalities for effective automation of your environment,788 pages
Graph Machine Learning,Claudio Stamile,$31.99 ,Jun-21,Build machine learning algorithms using graph data and efficiently exploit topological information w...,338 pages
Cross-Platform Development with Qt 6 and Modern C++,Nibedit Dey,$34.99 ,Jun-21,Enhance your cross-platform programming abilities with the powerful features and capabilities of Qt ...,442 pages
React 17 Design Patterns and Best Practices - Third Edition,Carlos Santana Roldán,$27.99 ,May-21,"Build modular React web apps that are scalable, maintainable, and powerful using design patterns and...",394 pages
Threat Hunting with Elastic Stack,Andrew Pease,$34.99 ,Jul-21,Get hands-on with advanced threat analysis techniques by implementing Elastic Stack security feature...,392 pages
Machine Learning for Algorithmic Trading - Second Edition,Stefan Jansen,$34.99 ,Jul-20,Leverage machine learning to design and back-test automated trading strategies for real-world market...,820 pages
Blazor WebAssembly by Example,Toi B. Wright,$27.99 ,Jul-21,"Discover blueprints that explore various components of Blazor, C#, and .NET to help you build web ap...",266 pages
Mastering spaCy,Duygu Altinok,$31.99 ,Jul-21,Build end-to-end industrial-strength NLP models using advanced morphological and syntactic features ...,356 pages
Python Ethical Hacking from Scratch,Fahad Ali Sarwar,$27.99 ,Jun-21,Explore the world of practical ethical hacking by developing custom network scanning and remote acce...,214 pages
Antivirus Bypass Techniques,Nir Yehoshua,$24.99 ,Jul-21,Develop more secure and effective antivirus solutions by leveraging antivirus bypass techniques,242 pages
Python Data Analysis - Third Edition,Avinash Navlani,$24.99 ,Feb-21,An end-to-end guide to getting well-versed with data analysis pipelines  using machine learning algo...,478 pages
Web Development with Django,Ben Shaw,$27.99 ,Feb-21,"Learn how to create your own websites simply, safely, and quickly with Django by tackling practical ...",826 pages
Mastering Embedded Linux Programming - Third Edition,Frank Vasquez,$34.99 ,May-21,Unleash the full potential of Embedded Linux with Linux 4.14and Yocto Project 2.5 (Sumo) Updates,758 pages
40 Algorithms Every Programmer Should Know,Imran Ahmad,$27.99 ,Jun-20,Learn algorithms for solving classic computer science problems with this concise guide covering ever...,382 pages
Getting Started with Streamlit for Data Science,Tyler Richards,$31.99 ,Aug-21,"Create, deploy, and test your Python applications, analyses, and models with ease using Streamlit",282 pages
Linux Kernel Programming,Kaiwan N Billimoria,$31.99 ,Mar-21,"Learn how to write high-quality kernel module code, solve common Linux kernel programming issues, an...",754 pages
Software Architecture Patterns for Serverless Systems,John Gilbert,$38.99 ,Jul-21,A professional's guide to solving complex problems while designing modern software,432 pages
Angular Cookbook,Muhammad Ahsan Ayaz,$24.99 ,Aug-21,Discover actionable solutions to everyday problems in building applications with Angular and TypeScr...,652 pages
The Python Workshop,Andrew Bird,$27.99 ,Nov-19,Cut through the noise and get real results with a step-by-step approach to learning Python 3.X progr...,608 pages
Creating Cross-Platform C# Applications with Uno Platform,Matt Lacey,$20.99 ,Aug-21,"Discover how to leverage the Uno Platform to write single-codebase, cross-platform mobile, desktop, ...",258 pages
ASP.NET Core 5 Secure Coding Cookbook,Roman Canlas,$27.99 ,Jul-21,Learn how to secure your ASP.NET Core web app through robust and secure code,324 pages
The TypeScript Workshop,Ben Grynhaus,$27.99 ,Jul-21,Broaden your skill set by learning TypeScript and applying your knowledge to build real-world applic...,714 pages
Solution Architecture with .NET,Jamil Hallal,$31.99 ,Aug-21,Learn about the responsibilities of a .NET solution architect and explore solution architecture prin...,238 pages
Mastering TypeScript - Fourth Edition,Nathan Rozentals,$34.99 ,Apr-21,"Master the TypeScript language and its latest features, explore modern web application frameworks, a...",538 pages
Windows Server Automation with PowerShell Cookbook - Fourth Edition,Thomas Lee,$34.99 ,Jul-21,Over 100 PowerShell recipes for working more effectively with Windows Server 2022/2019,674 pages
"Full-Stack React, TypeScript, and Node",David Choi,$31.99 ,Dec-20,Discover the current landscape of full-stack development and how to leverage modern web technologies...,648 pages
